Jul.Day,YYYY/MM/DD,Wdy,XAU/USD,XAG/USD,XPT/USD
2451410,8/19/1999,Thu,0.0038748,0.19396,0.0028392
2451411,8/20/1999,Fri,0.0038753,0.19268,0.002816
2451414,8/23/1999,Mon,0.0039135,0.19211,0.0028596
2451415,8/24/1999,Tue,0.0039457,0.1945,0.002872
2451416,8/25/1999,Wed,0.0039662,0.19737,0.0028795
2451417,8/26/1999,Thu,0.0039479,0.19723,0.0028822
2451418,8/27/1999,Fri,0.0039387,0.19554,0.0028808
2451421,8/30/1999,Mon,0.0039595,0.19646,0.0028929
2451422,8/31/1999,Tue,0.0039255,0.19354,0.0028595
2451423,9/1/1999,Wed,0.0039253,0.19336,0.0028813
2451424,9/2/1999,Thu,0.0039144,0.19211,0.0028347
2451425,9/3/1999,Fri,0.0039382,0.19522,0.0028695
2451429,9/7/1999,Tue,0.0039164,0.19347,0.002822
2451430,9/8/1999,Wed,0.0039092,0.194,0.002825
2451431,9/9/1999,Thu,0.0038948,0.19154,0.0028021
2451432,9/10/1999,Fri,0.0039129,0.19331,0.0027734
2451435,9/13/1999,Mon,0.0039098,0.195,0.0027295
2451436,9/14/1999,Tue,0.0039017,0.19416,0.0026837
2451437,9/15/1999,Wed,0.003909,0.19703,0.0027002
2451438,9/16/1999,Thu,0.0038995,0.19666,0.002682
2451442,9/20/1999,Mon,0.003935,0.19649,0.0026742
2451443,9/21/1999,Tue,0.0038563,0.19204,0.0026362
2451444,9/22/1999,Wed,0.0037869,0.18907,0.0026109
2451445,9/23/1999,Thu,0.0038064,0.19043,0.002671
2451446,9/24/1999,Fri,0.0037088,0.19043,0.0026846
2451449,9/27/1999,Mon,0.0035634,0.18734,0.0025971
2451450,9/28/1999,Tue,0.0033231,0.17875,0.0024964
2451451,9/29/1999,Wed,0.0031331,0.17533,0.0024422
2451452,9/30/1999,Thu,0.0033344,0.179,0.0025658
2451453,10/1/1999,Fri,0.0032447,0.17869,0.0024877
2451456,10/4/1999,Mon,0.0031863,0.17814,0.0024616
2451457,10/5/1999,Tue,0.003002,0.17651,0.0024028
2451458,10/6/1999,Wed,0.0031589,0.18136,0.0024852
2451459,10/7/1999,Thu,0.0031207,0.17971,0.0023552
2451460,10/8/1999,Fri,0.0031298,0.18123,0.002376
2451464,10/12/1999,Tue,0.0031499,0.17941,0.0023042
2451465,10/13/1999,Wed,0.0030995,0.17916,0.0023306
2451467,10/15/1999,Fri,0.0031768,0.1881,0.0024184
2451470,10/18/1999,Mon,0.0031976,0.18932,0.0024342
2451471,10/19/1999,Tue,0.0031888,0.18881,0.0024275
2451472,10/20/1999,Wed,0.0032545,0.19097,0.0023363
2451473,10/21/1999,Thu,0.0033234,0.1933,0.0023628
2451474,10/22/1999,Fri,0.0033201,0.18998,0.0023459
2451477,10/25/1999,Mon,0.0033507,0.19031,0.0023418
2451478,10/26/1999,Tue,0.0034434,0.1923,0.0024358
2451479,10/27/1999,Wed,0.0034269,0.1926,0.0024331
2451480,10/28/1999,Thu,0.0033825,0.19108,0.0023861
2451481,10/29/1999,Fri,0.0033422,0.1885,0.0023967
2451484,11/1/1999,Mon,0.0034664,0.19255,0.0024264
2451485,11/2/1999,Tue,0.0034568,0.19256,0.0024325
2451486,11/3/1999,Wed,0.0034318,0.19137,0.0024103
2451487,11/4/1999,Thu,0.0034337,0.19171,0.0023579
2451488,11/5/1999,Fri,0.0034533,0.19462,0.002401
2451491,11/8/1999,Mon,0.0034805,0.19753,0.0024083
2451492,11/9/1999,Tue,0.0034318,0.19628,0.0023233
2451493,11/10/1999,Wed,0.0033697,0.19349,0.0022865
2451495,11/12/1999,Fri,0.0034144,0.19537,0.0022363
2451498,11/15/1999,Mon,0.0034458,0.19843,0.0022468
2451499,11/16/1999,Tue,0.0034128,0.1946,0.0022378
2451500,11/17/1999,Wed,0.0033984,0.19438,0.0022743
2451501,11/18/1999,Thu,0.0034031,0.19525,0.0022515
2451502,11/19/1999,Fri,0.0033988,0.19457,0.0023476
2451505,11/22/1999,Mon,0.003395,0.19395,0.0023086
2451506,11/23/1999,Tue,0.003361,0.1899,0.0023172
2451507,11/24/1999,Wed,0.0033575,0.19079,0.0023043
2451508,11/25/1999,Thu,0.0033577,0.19275,0.0022557
2451509,11/26/1999,Fri,0.0033717,0.19307,0.0022586
2451512,11/29/1999,Mon,0.0034153,0.19268,0.0022912
2451513,11/30/1999,Tue,0.0034364,0.19125,0.0022939
2451514,12/1/1999,Wed,0.0034687,0.19399,0.002321
2451515,12/2/1999,Thu,0.0035144,0.19669,0.0023157
2451516,12/3/1999,Fri,0.0035564,0.1963,0.0023021
2451519,12/6/1999,Mon,0.0036325,0.19662,0.0023056
2451520,12/7/1999,Tue,0.00358,0.1946,0.0023017
2451521,12/8/1999,Wed,0.0035425,0.19518,0.0022755
2451522,12/9/1999,Thu,0.003587,0.19573,0.002294
2451523,12/10/1999,Fri,0.0035789,0.195,0.0022784
2451526,12/13/1999,Mon,0.003587,0.19574,0.0022675
2451527,12/14/1999,Tue,0.0035773,0.19241,0.0022416
2451528,12/15/1999,Wed,0.0035424,0.1932,0.0022859
2451529,12/16/1999,Thu,0.0035542,0.19244,0.0022755
2451530,12/17/1999,Fri,0.0035336,0.19248,0.002323
2451533,12/20/1999,Mon,0.0035273,0.19252,0.002326
2451534,12/21/1999,Tue,0.0035406,0.1943,0.0023009
2451535,12/22/1999,Wed,0.0034974,0.19192,0.0022641
2451536,12/23/1999,Thu,0.0034949,0.19217,0.0022814
2451537,12/24/1999,Fri,0.003479,0.19293,0.0023
2451542,12/29/1999,Wed,0.0034459,0.18855,0.002238
2451543,12/30/1999,Thu,0.0034443,0.18654,0.0022671
2451544,12/31/1999,Fri,0.0034784,0.18519,0.0022728
2451548,1/4/2000,Tue,0.0035577,0.18958,0.0023253
2451549,1/5/2000,Wed,0.0035707,0.1943,0.0023698
2451550,1/6/2000,Thu,0.0035716,0.19494,0.0024475
2451551,1/7/2000,Fri,0.0035497,0.19438,0.0024051
2451554,1/10/2000,Mon,0.0035547,0.19363,0.002405
2451555,1/11/2000,Tue,0.0035357,0.19379,0.0024018
2451556,1/12/2000,Wed,0.0035507,0.19469,0.0023826
2451557,1/13/2000,Thu,0.0035302,0.19579,0.0023725
2451558,1/14/2000,Fri,0.0035305,0.19486,0.0023305
2451561,1/17/2000,Mon,0.0035089,0.19612,0.0023207
2451562,1/18/2000,Tue,0.0034996,0.19621,0.0023137
2451563,1/19/2000,Wed,0.003485,0.19504,0.0022627
2451564,1/20/2000,Thu,0.0034713,0.19198,0.0022739
2451565,1/21/2000,Fri,0.0034598,0.1917,0.0022353
2451568,1/24/2000,Mon,0.0034685,0.19264,0.0022342
2451569,1/25/2000,Tue,0.003477,0.18998,0.002188
2451570,1/26/2000,Wed,0.0035123,0.19255,0.0022236
2451571,1/27/2000,Thu,0.0034973,0.18777,0.0021608
2451572,1/28/2000,Fri,0.003541,0.19001,0.0020731
2451575,1/31/2000,Mon,0.0035383,0.19204,0.0020418
2451576,2/1/2000,Tue,0.0035443,0.19327,0.0020638
2451577,2/2/2000,Wed,0.0035105,0.19271,0.002021
2451578,2/3/2000,Thu,0.0035088,0.19261,0.0019854
2451579,2/4/2000,Fri,0.0035214,0.19331,0.0019926
2451582,2/7/2000,Mon,0.0031764,0.18336,0.0019538
2451583,2/8/2000,Tue,0.0033778,0.19104,0.00196
2451584,2/9/2000,Wed,0.0032524,0.18662,0.0018336
2451585,2/10/2000,Thu,0.003196,0.18598,0.0018658
2451586,2/11/2000,Fri,0.0032395,0.18924,0.0018579
2451589,2/14/2000,Mon,0.003268,0.1913,0.0018731
2451590,2/15/2000,Tue,0.003301,0.19241,0.0018281
2451591,2/16/2000,Wed,0.0033176,0.19119,0.0018017
2451592,2/17/2000,Thu,0.0032992,0.19149,0.0018497
2451593,2/18/2000,Fri,0.0032982,0.19108,0.0020009
2451596,2/21/2000,Mon,0.0032849,0.19162,0.001931
2451597,2/22/2000,Tue,0.0033056,0.19153,0.0019467
2451598,2/23/2000,Wed,0.0033281,0.19093,0.0020384
2451599,2/24/2000,Thu,0.0033362,0.1925,0.0021273
2451600,2/25/2000,Fri,0.0034218,0.19678,0.0021745
2451603,2/28/2000,Mon,0.0034265,0.19812,0.0021512
2451604,2/29/2000,Tue,0.003412,0.19652,0.0020939
2451605,3/1/2000,Wed,0.0034243,0.19609,0.0021276
2451606,3/2/2000,Thu,0.003462,0.19892,0.0021898
2451607,3/3/2000,Fri,0.0034617,0.19886,0.002182
2451610,3/6/2000,Mon,0.0034719,0.19945,0.0021885
2451611,3/7/2000,Tue,0.0034664,0.19913,0.002185
2451612,3/8/2000,Wed,0.003434,0.19687,0.0021142
2451613,3/9/2000,Thu,0.0034598,0.19676,0.0021332
2451614,3/10/2000,Fri,0.003454,0.19706,0.0021328
2451617,3/13/2000,Mon,0.003446,0.19625,0.0021056
2451618,3/14/2000,Tue,0.0034704,0.19649,0.0020848
2451619,3/15/2000,Wed,0.0034645,0.19507,0.0020902
2451620,3/16/2000,Thu,0.0034886,0.19653,0.0020733
2451621,3/17/2000,Fri,0.0035272,0.19668,0.0020598
2451624,3/20/2000,Mon,0.0035146,0.1979,0.0020468
2451625,3/21/2000,Tue,0.0034522,0.19495,0.0020306
2451626,3/22/2000,Wed,0.0034805,0.1955,0.0020259
2451627,3/23/2000,Thu,0.0035227,0.19739,0.0020804
2451628,3/24/2000,Fri,0.0035167,0.19685,0.0021053
2451631,3/27/2000,Mon,0.0035586,0.19729,0.0021058
2451632,3/28/2000,Tue,0.0035812,0.19724,0.0020986
2451633,3/29/2000,Wed,0.0035857,0.20231,0.0021171
2451634,3/30/2000,Thu,0.0036324,0.20324,0.0021048
2451635,3/31/2000,Fri,0.0035801,0.20057,0.0020331
2451638,4/3/2000,Mon,0.003602,0.19963,0.0019703
2451639,4/4/2000,Tue,0.0036023,0.19582,0.001938
2451640,4/5/2000,Wed,0.0035538,0.19583,0.001953
2451641,4/6/2000,Thu,0.0035839,0.19666,0.0019796
2451642,4/7/2000,Fri,0.0035691,0.19726,0.0020734
2451645,4/10/2000,Mon,0.0035522,0.19538,0.0020797
2451646,4/11/2000,Tue,0.0035455,0.19532,0.0020395
2451647,4/12/2000,Wed,0.0035603,0.196,0.002033
2451648,4/13/2000,Thu,0.0035672,0.19486,0.0020209
2451649,4/14/2000,Fri,0.0035432,0.19522,0.0019933
2451652,4/17/2000,Mon,0.0035465,0.19533,0.0020181
2451653,4/18/2000,Tue,0.0035656,0.19535,0.0020246
2451654,4/19/2000,Wed,0.00357,0.19602,0.0020575
2451655,4/20/2000,Thu,0.0035777,0.20006,0.0020841
2451659,4/24/2000,Mon,0.0035687,0.20162,0.0020942
2451660,4/25/2000,Tue,0.0035865,0.20227,0.0020961
2451661,4/26/2000,Wed,0.0036318,0.20318,0.0021627
2451662,4/27/2000,Thu,0.0036303,0.20265,0.0020412
2451663,4/28/2000,Fri,0.0036436,0.20215,0.0019229
2451666,5/1/2000,Mon,0.0036609,0.19871,0.001854
2451667,5/2/2000,Tue,0.0036338,0.19918,0.0019032
2451668,5/3/2000,Wed,0.0036195,0.19954,0.0019934
2451669,5/4/2000,Thu,0.0035608,0.19561,0.0019506
2451670,5/5/2000,Fri,0.0035972,0.20039,0.0019876
2451673,5/8/2000,Mon,0.0036031,0.19949,0.0020129
2451674,5/9/2000,Tue,0.0036104,0.19887,0.0019882
2451675,5/10/2000,Wed,0.0036014,0.19862,0.0019556
2451676,5/11/2000,Thu,0.0036178,0.20043,0.0019654
2451677,5/12/2000,Fri,0.0036203,0.19946,0.0019801
2451680,5/15/2000,Mon,0.0036321,0.2007,0.0019918
2451681,5/16/2000,Tue,0.0036263,0.19657,0.0019814
2451682,5/17/2000,Wed,0.0036705,0.20043,0.0019753
2451683,5/18/2000,Thu,0.0036632,0.20092,0.0019363
2451684,5/19/2000,Fri,0.0036673,0.20215,0.0018637
2451688,5/23/2000,Tue,0.0036549,0.2009,0.0018029
2451689,5/24/2000,Wed,0.0036679,0.20173,0.0017832
2451690,5/25/2000,Thu,0.0036724,0.20259,0.0018279
2451691,5/26/2000,Fri,0.0036792,0.20384,0.0018365
2451694,5/29/2000,Mon,0.00367,0.20372,0.0018206
2451695,5/30/2000,Tue,0.003669,0.20415,0.0018252
2451696,5/31/2000,Wed,0.0036779,0.20342,0.001823
2451697,6/1/2000,Thu,0.0036693,0.20388,0.0018371
2451698,6/2/2000,Fri,0.0035766,0.19986,0.0017862
2451701,6/5/2000,Mon,0.0035234,0.1995,0.001796
2451702,6/6/2000,Tue,0.003468,0.19699,0.0018057
2451703,6/7/2000,Wed,0.0035138,0.19838,0.0018539
2451704,6/8/2000,Thu,0.0035224,0.19834,0.0018465
2451705,6/9/2000,Fri,0.0035223,0.19976,0.0018194
2451708,6/12/2000,Mon,0.0035029,0.20076,0.0018678
2451709,6/13/2000,Tue,0.003466,0.19843,0.0018466
2451710,6/14/2000,Wed,0.0034471,0.19782,0.0018697
2451711,6/15/2000,Thu,0.0034618,0.19809,0.0018593
2451712,6/16/2000,Fri,0.003455,0.19884,0.0018529
2451715,6/19/2000,Mon,0.003499,0.20012,0.0018286
2451716,6/20/2000,Tue,0.0034973,0.19999,0.0017893
2451717,6/21/2000,Wed,0.0034944,0.20288,0.0017797
2451718,6/22/2000,Thu,0.0034719,0.20157,0.0017617
2451719,6/23/2000,Fri,0.0035118,0.20215,0.0018174
2451722,6/26/2000,Mon,0.0035255,0.20178,0.0017391
2451723,6/27/2000,Tue,0.0035314,0.20298,0.0018159
2451724,6/28/2000,Wed,0.0034344,0.20132,0.0017544
2451725,6/29/2000,Thu,0.003469,0.19971,0.0017744
2451726,6/30/2000,Fri,0.0034711,0.19957,0.0018173
2451730,7/4/2000,Tue,0.0034922,0.20091,0.0018528
2451731,7/5/2000,Wed,0.0034957,0.20214,0.00188
2451732,7/6/2000,Thu,0.0035324,0.20095,0.0018735
2451733,7/7/2000,Fri,0.0035432,0.20186,0.0018565
2451736,7/10/2000,Mon,0.0035256,0.20084,0.0018319
2451737,7/11/2000,Tue,0.003543,0.20213,0.0018493
2451738,7/12/2000,Wed,0.0035641,0.20205,0.0018187
2451739,7/13/2000,Thu,0.0035672,0.20152,0.0018055
2451740,7/14/2000,Fri,0.0035663,0.20101,0.0017813
2451743,7/17/2000,Mon,0.003547,0.20007,0.0017549
2451744,7/18/2000,Tue,0.0035234,0.19913,0.001726
2451745,7/19/2000,Wed,0.0035176,0.19881,0.0017232
2451746,7/20/2000,Thu,0.0035245,0.1992,0.0017004
2451747,7/21/2000,Fri,0.0035233,0.19913,0.0017109
2451750,7/24/2000,Mon,0.0035139,0.1986,0.001709
2451751,7/25/2000,Tue,0.0035344,0.19975,0.0017317
2451752,7/26/2000,Wed,0.0035346,0.19976,0.0017527
2451753,7/27/2000,Thu,0.0035423,0.2002,0.0017898
2451754,7/28/2000,Fri,0.0035473,0.20048,0.0017815
2451757,7/31/2000,Mon,0.0036199,0.20094,0.0017796
2451758,8/1/2000,Tue,0.0036173,0.19962,0.0017272
2451759,8/2/2000,Wed,0.0035834,0.19816,0.0016806
2451761,8/4/2000,Fri,0.0036213,0.20045,0.0016638
2451765,8/8/2000,Tue,0.0036503,0.2004,0.0017458
2451767,8/10/2000,Thu,0.0036457,0.20195,0.0017237
2451768,8/11/2000,Fri,0.0036775,0.20304,0.0017205
2451771,8/14/2000,Mon,0.0036598,0.20115,0.0017433
2451772,8/15/2000,Tue,0.0036361,0.20336,0.0017757
2451773,8/16/2000,Wed,0.0036229,0.2027,0.0017358
2451774,8/17/2000,Thu,0.00369,0.20768,0.0017827
2451775,8/18/2000,Fri,0.0036043,0.2039,0.0017634
2451778,8/21/2000,Mon,0.0036392,0.20498,0.0017684
2451779,8/22/2000,Tue,0.003638,0.20513,0.0017477
2451780,8/23/2000,Wed,0.0036876,0.20766,0.0017648
2451781,8/24/2000,Thu,0.0036595,0.20653,0.0017494
2451782,8/25/2000,Fri,0.0036578,0.20601,0.0017374
2451785,8/28/2000,Mon,0.0036585,0.20328,0.001724
2451786,8/29/2000,Tue,0.0036639,0.20356,0.0017268
2451787,8/30/2000,Wed,0.0036312,0.2008,0.0016753
2451788,8/31/2000,Thu,0.0036409,0.20204,0.0016826
2451789,9/1/2000,Fri,0.0036136,0.20099,0.0017058
2451793,9/5/2000,Tue,0.0036182,0.20125,0.0017083
2451794,9/6/2000,Wed,0.0036299,0.2007,0.001689
2451795,9/7/2000,Thu,0.0036326,0.19898,0.0016297
2451796,9/8/2000,Fri,0.0036675,0.20205,0.001649
2451799,9/11/2000,Mon,0.0036724,0.2024,0.0016482
2451800,9/12/2000,Tue,0.003672,0.20321,0.0016491
2451801,9/13/2000,Wed,0.0036469,0.20255,0.0016523
2451802,9/14/2000,Thu,0.0036769,0.20366,0.0016809
2451803,9/15/2000,Fri,0.0036562,0.20316,0.0017045
2451806,9/18/2000,Mon,0.0036735,0.20412,0.0017126
2451807,9/19/2000,Tue,0.0036598,0.20411,0.0016877
2451808,9/20/2000,Wed,0.0036666,0.2028,0.0016846
2451809,9/21/2000,Thu,0.003695,0.20403,0.0017032
2451810,9/22/2000,Fri,0.0037183,0.20493,0.0017124
2451813,9/25/2000,Mon,0.0036469,0.20163,0.0017093
2451814,9/26/2000,Tue,0.0036447,0.2015,0.0017082
2451815,9/27/2000,Wed,0.0036577,0.20228,0.0017315
2451816,9/28/2000,Thu,0.0036384,0.20095,0.0017234
2451817,9/29/2000,Fri,0.0036276,0.20154,0.0017326
2451820,10/2/2000,Mon,0.0036254,0.20142,0.0017316
2451821,10/3/2000,Tue,0.0036505,0.20202,0.0017204
2451822,10/4/2000,Wed,0.003658,0.20169,0.0017141
2451823,10/5/2000,Thu,0.0036777,0.20283,0.0017147
2451824,10/6/2000,Fri,0.0037121,0.20381,0.0017004
2451828,10/10/2000,Tue,0.0036978,0.20345,0.0016984
2451829,10/11/2000,Wed,0.0037045,0.20203,0.0016912
2451830,10/12/2000,Thu,0.0036766,0.20382,0.0016911
2451831,10/13/2000,Fri,0.0036615,0.20329,0.0017757
